_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
3033491213212,https://images.openfoodfacts.org/images/products/303/349/121/3212/front_fr.69.400.jpg,Danone,Sweetened beverages,334.0,12.5,0.1,1.0,2.8,0.0,2.1,0.04,19.0
4002671157751,https://images.openfoodfacts.org/images/products/400/267/115/7751/front_de.3.400.jpg,Gervais,Dairy desserts,392.0,1.6,0.85,2.6,12.3,0.0,0.0,0.34,1.0
4000405004982,https://images.openfoodfacts.org/images/products/400/040/500/4982/front_de.36.400.jpg,Rügenwalder Mühle,unknown,460.0,2.0,2.2,0.7,2.2,6.7,0.0,0.88,4.0
4337185537516,https://images.openfoodfacts.org/images/products/433/718/553/7516/front_de.20.400.jpg,K-Classic,Sandwiches,1116.0,0.1,1.0,8.2,20.0,0.0,0.0,0.4,15.0
5053990156009,https://images.openfoodfacts.org/images/products/505/399/015/6009/front_fr.197.400.jpg,Pringles,Appetizers,2227.0,1.4,1.1,6.6,5.9,3.5,0.0,0.44,13.0
3045320517699,https://images.openfoodfacts.org/images/products/304/532/051/7699/front_fr.24.400.jpg,Bonne Maman,Dairy desserts,730.0,19.0,0.11,4.7,4.2,0.0,0.0,0.044,8.0
4012359144102,https://images.openfoodfacts.org/images/products/401/235/914/4102/front_de.85.400.jpg,Taifun,Legumes,1049.0,0.9,1.7,2.6,17.0,0.0,62.5439453125,0.68,12.0
3502110009357,https://images.openfoodfacts.org/images/products/350/211/000/9357/front_en.101.400.jpg,"PepsiCo, Pepsi zero",Artificially sweetened beverages,2.0,0.0,0.01,0.0,0.0,0.0,0.0,0.004,1.0
6194049100044,https://images.openfoodfacts.org/images/products/619/404/910/0044/front_de.134.400.jpg,Le Phare du Cap Bon,Dressings and sauces,302.0,6.9,1.7,0.5,2.9,2.5,7.8,0.68,5.0
4018077741555,https://images.openfoodfacts.org/images/products/401/807/774/1555/front_de.39.400.jpg,Lorenz,Nuts,2051.0,3.9,2.1,3.4,12.0,3.0,30.0,0.84,15.0
7616800705101,https://images.openfoodfacts.org/images/products/761/680/070/5101/front_fr.35.400.jpg,"M-Classic, Migros, MClassic",Cereals,420.0,3.3,1.1,0.8,3.5,0.7,66.21875,0.44,1.0
4056489346357,https://images.openfoodfacts.org/images/products/405/648/934/6357/front_de.154.400.jpg,"Milbona,Vemondo,Lidl,envia",Plant-based milk substitutes,53.0,0.0,0.15,0.1,0.5,0.0,2.3,0.06,0.0
3229820787985,https://images.openfoodfacts.org/images/products/322/982/078/7985/front_fr.85.400.jpg,Bjorg,Unsweetened beverages,760.0,1.6,0.08,15.0,1.2,1.1,55.0,0.032,19.0
8710912064725,https://images.openfoodfacts.org/images/products/871/091/206/4725/front_de.64.400.jpg,Valess,unknown,912.0,0.8,1.3,2.6,14.3,3.5,0.0,0.52,1.0
4056489412373,https://images.openfoodfacts.org/images/products/405/648/941/2373/front_fr.4.400.jpg,Toque du Chef,One-dish meals,639.0,2.7,0.69,2.6,6.8,1.0,13.85,0.276,1.0
20416690,https://images.openfoodfacts.org/images/products/20416690/front_de.107.400.jpg,Pilos ( Lidl ),Milk and yogurt,244.0,4.0,0.13,1.4,6.0,0.8,0.0,0.052,-2.0
4104420186279,https://images.openfoodfacts.org/images/products/410/442/018/6279/front_de.73.400.jpg,Alnatura,Plant-based milk substitutes,164.0,5.2,0.13,0.2,0.6,0.5,0.0,0.052,1.0
4337256103930,https://images.openfoodfacts.org/images/products/433/725/610/3930/front_de.3.400.jpg,"Ja!,",Bread,1042.0,3.6,1.0,0.4,8.4,3.8,0.0,0.4,-2.0
3487400005151,https://images.openfoodfacts.org/images/products/348/740/000/5151/front_de.3.400.jpg,"Ben's Original, Mars",One-dish meals,711.0,2.5,0.56,0.3,3.9,1.4,8.4,0.224,1.0
7622300784751,https://images.openfoodfacts.org/images/products/762/230/078/4751/front_de.111.400.jpg,"Milka, Mondelez International",Biscuits and cakes,1799.0,31.0,0.6,4.1,5.4,1.5,5.92141402395148,0.24,16.0
4058172508080,https://images.openfoodfacts.org/images/products/405/817/250/8080/front_de.32.400.jpg,"dmBio,dm,Alnatura",Legumes,531.0,0.6,0.51,1.3,13.0,1.8,0.0,0.204,-2.0
20195595,https://images.openfoodfacts.org/images/products/20195595/front_de.150.400.jpg,Milbona,Cheese,614.0,2.0,1.0,8.4,8.0,0.1,0.0,0.4,9.0
3046920028721,https://images.openfoodfacts.org/images/products/304/692/002/8721/front_de.217.400.jpg,Lindt,Chocolate products,2365.0,1.0,0.7,30.0,14.0,0.0,0.0,0.28,20.0
5411188116592,https://images.openfoodfacts.org/images/products/541/118/811/6592/front_de.184.400.jpg,Alpro,Plant-based milk substitutes,85.0,1.9,0.13,0.9,0.1,0.1,5.3,0.052,0.0
8076809513692,https://images.openfoodfacts.org/images/products/807/680/951/3692/front_de.195.400.jpg,Barilla,Dressings and sauces,281.0,5.2,0.96,0.4,1.4,1.8,87.4,0.384,-1.0
