id,name,nutriscore,energy,fat_g,sugar_g,sodium_mg,perc_fruit,fibers_g,proteins_g,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points
4056489104254,Kokosraspel,c,2794.9120000000003,65.2,6.6,20.0,100.0,14.8,7.4,8,1,0,10,5,5,4
7394376614545,Oat Drink,b,192.464,1.5,4.1,40.0,0.0,0.8,1.0,0,0,0,1,0,0,0
8712429350100,Demae Ramen Poulet Sachet,e,380.744,4.0,0.4,440.0,0.0,0.0,2.0,1,0,4,3,0,0,1
5060042641413,Sweet Chilli & Red Pepper,c,1958.112,25.0,5.1,440.0,0.0,5.4,6.3,5,1,4,10,0,5,3
20003463,Spaghetti,a,1464.4,1.2,3.2,0.0,0.0,3.5,12.5,4,0,0,1,0,3,5
8008698007303,Fette crocantinis schar,c,1589.92,1.7,6.0,560.0,0.0,2.3,6.0,4,1,6,1,0,2,3
20067274,Choco Shells,b,1585.736,2.1,23.9,148.0,0.0,6.0,10.7,4,5,1,2,0,5,5
5010029208610,Oatibix Avena Flakes,b,1694.52,8.6,14.0,112.0,0.0,8.0,11.0,5,3,1,8,0,5,5
3273227081023,Organic So Soja! Natural,a,192.464,2.1,0.0,40.0,0.0,0.0,4.8,0,0,0,2,0,0,2
5411188513513,Soya Unsweetened Organic (Red),a,146.44,2.1,0.0,16.0,0.0,0.6,3.7,0,0,0,2,0,0,2
10100295,Weetabix,a,1514.608,2.0,4.2,112.0,0.0,10.0,12.0,4,0,1,1,0,5,5
5411188094159,Devilishly dark chocolate plant-based dessert,a,397.48,2.3,11.8,52.0,0.0,1.4,3.1,1,2,0,2,0,1,1
20115685,chapelure,b,1493.688,1.6,4.4,600.0,0.0,5.2,13.0,4,0,6,1,0,5,5
5020364010113,Bakery Co. 5 The Original Bagels,a,1079.472,1.2,5.6,308.0,0.0,3.1,10.1,3,1,3,1,0,3,5
5202390015878,Violife 100% vegan original flavour slices,e,1192.44,23.0,0.0,920.0,0.0,0.0,0.0,3,0,10,10,0,0,0
7613031300655,Cheerios Multi,b,1581.552,4.8,17.7,320.0,0.0,9.6,9.9,4,3,3,4,0,5,5
5412514350000,Wraps,d,1389.088,18.0,1.3,520.0,0.0,0.0,9.3,4,0,5,10,0,0,5
4056489017479,Olivenöl,c,3447.616,91.6,0.0,0.0,0.0,0.0,0.0,10,0,0,10,0,0,0
3073781161298,Le Cœur Fleuri Végétal,e,1196.624,22.0,3.0,640.0,0.0,0.0,1.0,3,0,7,10,0,0,0
5411188112778,Almond Unsweetened,b,54.392,1.1,0.0,52.0,0.0,0.4,0.4,0,0,0,1,0,0,0
20118174,Mandeloliven,c,589.9440000000001,13.0,0.0,1044.0,0.0,0.0,1.2,1,0,10,10,0,0,0
5053990162765,Pringles Smokey Bacon Flavour,d,2171.496,29.0,3.0,640.0,0.0,3.6,6.6,6,0,7,10,0,3,4
20054830,Riz arborio,b,1481.136,0.4,0.2,4.0,0.0,0.0,6.7,4,0,0,0,0,0,4
20487942,Sun-dried Tomatoes,e,577.392,0.7,17.0,2640.0,0.0,6.0,7.0,1,3,10,0,0,5,4
20293604,Olivenöl,c,3447.616,91.6,0.0,0.0,0.0,0.0,0.0,10,0,0,10,0,0,0
5010044005126,Crumpets,c,736.384,0.8,2.0,592.0,0.0,1.9,6.0,2,0,6,0,0,1,3
4056489408178,"Artesanas con pipas, Crunchy Breadsticks with Sunflower Seeds",d,2167.312,30.0,1.4,772.0,0.0,4.0,10.6,6,0,8,10,0,4,5
4056489517511,Oat unsweetened,b,163.17600000000002,1.1,3.1,44.0,0.0,0.5,0.3,0,0,0,1,0,0,0
20199876,Sun-dried Tomatoes,c,681.9920000000001,11.9,6.4,1088.0,0.0,23.0,3.0,2,1,10,10,0,5,1
20809676,Schwäbische Spätzle,b,635.9680000000001,3.4,0.8,400.0,0.0,0.0,6.4,1,0,4,3,0,0,3
5000157026231,Beanz in a rich tomato sauce ORGANIC,a,343.088,0.2,5.4,240.0,0.0,3.8,4.9,1,1,2,0,0,4,3
5013665100065,Organic Slightly Salted Wholgrain Rice Cakes,a,1648.496,2.7,0.5,120.0,0.0,3.1,8.5,4,0,1,2,0,3,5
5013803620332,Eat Natural Almond & Apricot Bars,d,1991.584,26.6,31.2,24.0,0.0,4.6,6.6,5,6,0,10,0,4,4
5411188114666,Almond dark chocolate drink,b,196.648,1.3,6.9,56.0,0.0,0.8,0.8,0,1,0,1,0,0,0
5411188128021,Caffè soya caramel blend,d,146.44,0.8,4.9,56.0,0.0,1.3,1.5,0,1,0,0,0,1,0
4056489067719,Vegan spread French style,b,569.024,9.0,0.5,440.0,0.0,0.0,8.5,1,0,4,8,0,0,5
7394376123337,The Original Organic Oat Drink,b,154.808,0.5,4.1,40.0,0.0,0.8,1.0,0,0,0,0,0,0,0
5034467000216,Tofoo Naked,a,514.6320000000001,6.9,0.7,40.0,0.0,0.9,12.6,1,0,0,6,0,0,5
5018357012497,Simply nutty muesli,a,1573.184,6.8,14.2,12.0,0.0,8.6,9.9,4,3,0,6,0,5,5
1704877950008,Vegetable balls,c,711.28,8.6,2.5,640.0,0.0,0.0,7.7,2,0,7,8,0,0,4
3524130003177,Olives aux Herbes,c,1158.968,28.0,0.5,1480.0,0.0,3.8,1.3,3,0,10,10,0,4,0
5019503018974,Mince,a,439.32,2.0,0.6,120.0,0.0,5.5,14.5,1,0,1,1,0,5,5
50160884,Vegan Bouillon powder,e,1008.344,8.4,3.9,17520.0,0.0,0.0,9.6,3,0,10,8,0,0,5
5050083563133,All-Bran Golden Crunch,c,1702.888,11.0,21.0,332.0,0.0,13.0,7.6,5,4,3,10,0,5,4
5060042640744,Lightly Sea Salted,b,2096.184,24.4,2.0,200.0,0.0,5.3,5.9,6,0,2,10,0,5,3
51000005,Cheese & Onion Flavour Potato Crisps,c,2150.576,29.0,2.6,480.0,0.0,3.8,6.3,6,0,5,10,0,4,3
7394376665035,Oatly drink whole fridge version,b,238.488,2.8,4.1,40.0,0.0,0.8,1.0,0,0,0,2,0,0,0
20622701,"Medaglioni Basilic,Ricotta & Pignons de pain",c,1012.528,8.0,3.1,440.0,0.0,0.0,7.8,3,0,4,7,0,0,4
5019503034165,Totally Vegan Smoky Ham Free Slices,a,422.584,2.5,0.3,680.0,0.0,8.5,13.5,1,0,7,2,0,5,5
5034467000223,Smoked Tofu,a,615.048,7.6,0.533,123.0,0.0,0.667,15.2,1,0,1,7,0,0,5
5060120281975,Organic Oat Drink,b,217.568,1.8,4.3,36.0,0.0,0.5,1.6,0,0,0,1,0,0,0
9352042000298,Vegemite,c,728.0160000000001,0.9,2.4,3356.0,0.0,8.4,25.9,2,0,10,0,0,5,5
5060406080223,Oat M*lk,b,200.832,2.1,4.5,40.0,0.0,0.0,0.2,0,0,0,2,0,0,0
5060367180758,Crunchy peanut butter,b,2535.504,48.4,5.7,140.0,99.5,8.8,26.3,7,1,1,10,5,5,5
5411188124702,Oat No Sugars,a,167.36,1.5,0.0,36.0,0.0,1.2,0.2,0,0,0,1,0,1,0
5018357012411,Simply Delicious Muesli,a,1539.712,7.3,14.7,10.0,0.0,9.0,9.6,4,3,0,7,0,5,5
5711953121234,Nordic Oat Drink,b,205.016,1.5,3.3,68.0,0.0,0.0,1.2,0,0,0,1,0,0,0
5053990160242,SIZZL‘N SPICY SPICY BBQ FLAVOUR,e,2175.6800000000003,29.0,4.4,0.0,0.0,0.0,5.2,6,0,0,10,0,0,3
5060132284322,Peanut butter Crunchy,d,2493.664,46.0,5.9,0.0,0.0,8.5,30.0,7,1,0,10,0,5,5
7613287154231,Shreddies,a,1522.976,1.8,12.5,288.0,0.0,12.0,10.8,4,2,3,1,0,5,5
20475598,Ceci - Chickpeas in Water,a,531.368,2.7,0.5,10.0,0.0,5.1,6.7,1,0,0,2,0,5,4
41005514,Whole Grain Rye Bread,a,840.984,1.0,2.2,460.0,0.0,7.7,5.2,2,0,5,0,0,5,3
5010044000404,Wholemeal Medium Sliced,a,974.872,2.8,2.4,380.0,0.0,6.4,10.6,2,0,4,2,0,5,5
5010265002911,Dark Rye Crunchy Rye Breads,a,1430.928,1.2000000476837,3.0,296.000003814696,0.0,15.2,8.5,4,0,3,1,0,5,5
