index,url,product_name,categories,countries_fr,nutriscore_score,nutriscore_grade,food_groups_tags,image_url,energy_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,fruits-vegetables-nuts_100g
1427258,http://world-fr.openfoodfacts.org/produit/3564700532461/cones-sorbet-mangue-passion-x-6-smicy,Cônes sorbet mangue passion x 6,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, cônes glacés",France,11.0,d,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/356/470/053/2461/front_fr.21.400.jpg,932.0,4.1,30.0,1.1,1.7,0.0,29.78
1427259,http://world-fr.openfoodfacts.org/produit/3564700532508/cones-sorbet-fruits-rouges-smicy,Cônes sorbet fruits rouges,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, cônes glacés",France,10.0,c,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/356/470/053/2508/front_fr.25.400.jpg,842.0,3.6,28.0,1.4,1.5,0.2,22.26
1427445,http://world-fr.openfoodfacts.org/produit/3564700566725/legumes-vapeurs-du-jardin-notre-jardin,Légumes vapeurs du jardin,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés",France,-7.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/056/6725/front_fr.22.400.jpg,218.0,0.3,3.2,4.0,1.5,0.6,94.0
1427448,http://world-fr.openfoodfacts.org/produit/3564700566756/puree-brocolis-nature-notre-jardin,Purée Brocolis nature,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, plats préparés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, légumes préparés, purées, purées de légumes, purées de brocolis",France,-8.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/056/6756/front_fr.36.400.jpg,119.0,0.2,0.9,2.3,3.1,0.03,100.0
1427450,http://world-fr.openfoodfacts.org/produit/3564700566763/puree-carottes-nature-surgele-leclerc-marque-repere,Purée Carottes nature surgele leclerc,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, plats préparés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, légumes préparés, purées, purées de légumes, purées de carottes",France,-7.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/356/470/056/6763/front_fr.34.400.jpg,106.0,0.0,3.2,2.8,0.9,0.058,100.0
1427478,http://world-fr.openfoodfacts.org/produit/3564700571590/riz-cantonais-tables-du-monde,Riz Cantonais,"surgelés, plats préparés, céréales préparées, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, riz préparés, riz cantonais",France,0.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/057/1590/front_fr.32.400.jpg,513.0,0.4,0.8,0.7,5.1,0.64,14.18
1427501,http://world-fr.openfoodfacts.org/produit/3564700574638/vrac-creme-glacee-facon-rocher-eskiss,Vrac crème glacée façon rocher,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, crèmes glacées en pot, glaces au chocolat",France,12.0,d,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/356/470/057/4638/front_fr.5.400.jpg,1210.0,4.8,29.3,1.1,3.4,0.1,1.0
1427622,http://world-fr.openfoodfacts.org/produit/3564700594995/pizza-merveillosa-speciale-volpone,Pizza Merveillosa spéciale,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas surgelées",France,10.0,c,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/356/470/059/4995/front_fr.14.400.jpg,1043.0,5.0,2.8,2.2,11.0,1.2,25.0
1427623,http://world-fr.openfoodfacts.org/produit/3564700595039/pizza-thon-turini,Pizza thon,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas surgelées, pizzas au thon",France,-1.0,a,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/356/470/059/5039/front_fr.44.400.jpg,944.0,3.0,2.9,3.4,13.0,0.87,25.51
1427694,http://world-fr.openfoodfacts.org/produit/3564700605370/poelee-forestiere-notre-jardin,Poêlée forestière,"surgelés, plats préparés, poêlées, plats préparés surgelés",France,-7.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/356/470/060/5370/front_fr.19.400.jpg,159.0,0.6,0.7,2.2,1.9,0.31,94.6
